Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.291704774,-1.176012278,-1.271724224,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445908427,-1.364742875,-1.348587155,-1.534049273,-1.521725655,-1.489771724,-1.407710433,-1.480537772,-1.1423769
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,2,2,3,5,5,7,6,7,8,9,9,10,11,11,11,10,10,10,10,9,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.301075459,8.021389961,4.787233829,4.761904716,4.761904716,6.403940678,1.463414669,1.951219559,0.970873773,0.485436887,0.95693779,0.952380955,0.473933637,1.421800971,0.947867274,5.288461685,5.769230843,3.846153736,3.846153736,4.807692528,6.25,4.807692528,12.5
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480769217,0,0,0,1.442307711,0,4.807692528
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,27.41935539,33.68983841,30.85106468,32.80423355,19.04761887,15.27093601,13.17073154,11.70731735,6.796116352,4.368932247,7.177033424,3.809523821,4.265402794,11.84834099,9.952606201,12.5,12.01923084,9.615385056,9.615385056,9.615385056,11.05769253,10.57692337,21.15384674
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.340506971,0.324012995,0.346905559,0.352838129,0.270214707,0.213201359,0.207366139,0.207394153,0.232796639,0.224344641,0.203014597,0.19512254,0.195457265,0.186088413,0.159914896,0.161357954,0.160177767,0.164447621,0.161955491,0.155046001,0.155087456,0.157702178,0.183094144
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-2.175166607,-2.102291822,-2.173946142,-1.587687016,-1.127419591,-0.909888744,-1.217238426,-1.465511322,-1.443468094,-1.533435464,-1.511001945,-1.480805755,-1.477033496,-1.376418829,-1.400745392,-1.362318277,-1.351807714,-1.254181504,-1.35992229,-1.479299188,-1.495626688,-1.585144877,-1.634369612
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,1,1,1,2,2,4,4,6,5,6,7,7,7,8,8,8,8,8,8,8,8,7,6
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,0,0,0,2.162162066,11.35135174,18.9054718,9.8039217,3.902439117,4.368932247,3.398058176,3.349282265,3.82775116,4.739336491,5.687203884,5.687203884,7.211538315,7.211538315,8.17307663,8.17307663,7.692307472,7.211538315,5.288461685,5.769230843
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,0,0,0,0,1.621621609,5.97014904,1.470588207,0,0.485436887,0.485436887,0,0.478468895,0.473933637,0.473933637,0.473933637,1.923076868,1.923076868,4.807692528,3.365384579,1.442307711,1.442307711,1.442307711,0.961538434
